DULICA;PSC;OBCE
Karpatské námestie;831 06;Bratislava
Kašmírska;821 04;Bratislava
Kaštieľska;821 05;Bratislava
Kataríny Brúderovej;831 07;Bratislava
Kaukazská;851 01;Bratislava
Kavyľová;841 10;Bratislava
Kazanská;821 06;Bratislava
Kazanská;821 06;Bratislava
Kazanská;821 07;Bratislava
Keltská;851 10;Bratislava
Kempelenova;841 04;Bratislava
Ketelec;821 06;Bratislava
Kežmarské námestie;851 01;Bratislava
Kladnianska;821 05;Bratislava
Klariská;811 03;Bratislava
Klásková;821 07;Bratislava
Kláštorská;821 05;Bratislava
Klatovská;821 04;Bratislava
Klatovská;831 04;Bratislava
Klemensova;811 09;Bratislava
Klenová;831 01;Bratislava
Klimkovičova;841 01;Bratislava
Klincová;821 08;Bratislava
Klobučnícka;811 01;Bratislava
Klokočova;851 01;Bratislava
Kľukatá;821 05;Bratislava
Kĺzavá;831 01;Bratislava
Kmeťovo námestie;811 07;Bratislava
Knižkova cesta;831 06;Bratislava
Koceľova;821 08;Bratislava
Kočánkova;851 04;Bratislava
Kohútova;821 08;Bratislava
Koľajná;831 06;Bratislava
Kolárska;811 06;Bratislava
Kolískova;841 05;Bratislava
Kollárova;841 06;Bratislava
Kollárovo námestie;811 06;Bratislava
Kollárovo námestie;811 07;Bratislava
Kolmá;851 01;Bratislava
Komárňanská;821 05;Bratislava
Komárnická;821 02;Bratislava
Komárnická;821 03;Bratislava
Komárovská;821 06;Bratislava
Komenského námestie;811 01;Bratislava
Kominárska;831 04;Bratislava
Komonicova;841 05;Bratislava
Koncová;831 07;Bratislava
Koniarkova;831 07;Bratislava
Konopiská;851 10;Bratislava
Konopná;821 05;Bratislava
Konvalinková;841 04;Bratislava
Konventná;811 03;Bratislava
Kopanice;821 04;Bratislava
Kopčianska;851 01;Bratislava
Koperníkova;821 04;Bratislava
Koprivnická;841 01;Bratislava
Koprivnická;841 01;Bratislava
Koprivnická;841 02;Bratislava
Korabinského;811 02;Bratislava
Korálová;821 06;Bratislava
Kórejská;851 10;Bratislava
Koreničova;811 03;Bratislava
Koreňová;851 10;Bratislava
Korunská;841 10;Bratislava
Korytnická;821 06;Bratislava
Kosatcová;841 07;Bratislava
Kosodrevinová;821 07;Bratislava
Kostlivého;821 03;Bratislava
Kostolná;811 01;Bratislava
Košická;821 08;Bratislava
Košická;821 08;Bratislava
Košická;821 09;Bratislava
Kovácsova;851 10;Bratislava
Kováčska;831 04;Bratislava
Kovorobotnícka;821 04;Bratislava
Kovová;821 06;Bratislava
Kozia;811 03;Bratislava
Koziarka;830 00;Bratislava
Kozičova;841 10;Bratislava
Kozmonautická;821 02;Bratislava
Kožušnícka;851 10;Bratislava
Kôprová;821 07;Bratislava
Kôstková;851 10;Bratislava
Kpt. Jána Rašu;841 01;Bratislava
Krahulčia;831 01;Bratislava
Krahulčia;832 02;Bratislava
Krajinská;821 06;Bratislava
Krajinská cesta;821 07;Bratislava
Krajná;821 04;Bratislava
Krakovská;811 03;Bratislava
Kráľovské údolie;811 02;Bratislava
Krasinského;821 04;Bratislava
Kraskova;831 02;Bratislava
Krásna;821 05;Bratislava
Krasňanská;831 06;Bratislava
Krásnohorská;851 07;Bratislava
Krasovského;851 01;Bratislava
Kratiny;831 07;Bratislava
Krátka;811 03;Bratislava
Krčméryho;811 04;Bratislava
Kremeľská;841 10;Bratislava
Kremencová;841 07;Bratislava
Kremnická;851 01;Bratislava
Kresánkova;841 05;Bratislava
Kríková;821 07;Bratislava
Kristy Bendovej;841 02;Bratislava
Krištáľová;851 10;Bratislava
Krivá;811 04;Bratislava
Krivé jarky;830 00;Bratislava
Križkova;811 04;Bratislava
Krížna;811 07;Bratislava
Krížna;811 07;Bratislava
Krížna;821 08;Bratislava
Krížna;831 04;Bratislava
Krmanova;811 03;Bratislava
Krokusová;821 07;Bratislava
Krompašská;821 04;Bratislava
Krupinská;851 01;Bratislava
Krupkova ulica;811 09;Bratislava
Krušpánová;851 10;Bratislava
Kubačova;831 06;Bratislava
Kubániho;811 04;Bratislava
Kubínska;851 01;Bratislava
Kučovanická;841 06;Bratislava
Kudlákova;841 01;Bratislava
Kuklovská;841 04;Bratislava
Kúkoľová;831 07;Bratislava
Kukučínova;831 03;Bratislava
Kukuričná;831 03;Bratislava
Kulíškova;821 08;Bratislava
Kultúrna;821 04;Bratislava
Kuneradská;841 03;Bratislava
Kupeckého;821 08;Bratislava
Kúpeľná;811 02;Bratislava
Kurucova;831 01;Bratislava
Kutlíkova;851 02;Bratislava
Kútska;841 06;Bratislava
Kutuzovova;831 03;Bratislava
Kuzmányho;811 06;Bratislava
Kvačalova;821 08;Bratislava
Kvetinárska;821 06;Bratislava
Kvetná;821 08;Bratislava
Kýčerského;811 05;Bratislava
Kyjevská;831 02;Bratislava
Kysucká;811 04;Bratislava
Laborecká;831 04;Bratislava
Lackova;841 04;Bratislava
Ladislava Batthyányho;851 10;Bratislava
Ladislava Dérera;831 01;Bratislava
Ladislava Sáru;841 04;Bratislava
Ľadová;811 05;Bratislava
Ladzianskeho;831 01;Bratislava
Lachova;851 03;Bratislava
Ľaliová;821 05;Bratislava
Lamač;840 02;Bratislava
Lamačská cesta;811 04;Bratislava
Lamačská cesta;841 03;Bratislava
Lamačská cesta;841 04;Bratislava
Lamanského;831 03;Bratislava
Lančárska;841 06;Bratislava
Landauova;841 01;Bratislava
Landererova;811 09;Bratislava
Langsfeldova;811 04;Bratislava
Ľanová;821 01;Bratislava
Laskomerského;831 03;Bratislava
Laténska;851 10;Bratislava
Latorická;821 07;Bratislava
Laučekova;811 04;Bratislava
Laurinská;811 01;Bratislava
Laurotová;831 02;Bratislava
Laury Henckelovej;851 10;Bratislava
Lazaretská;811 08;Bratislava
Lazaretská;811 09;Bratislava
Leánska;831 52;Bratislava
Lediny;841 03;Bratislava
Legerského;831 02;Bratislava
Legionárska;811 07;Bratislava
Legionárska;831 04;Bratislava
Lehockého;811 05;Bratislava
Lehockého;811 06;Bratislava
Leknová;821 07;Bratislava
Lenardova;851 01;Bratislava
Leopoldov majer;841 06;Bratislava
Lermontovova;811 05;Bratislava
Lesná;811 04;Bratislava
Lesnícka;851 10;Bratislava
Leškova;811 04;Bratislava
Letecká;831 03;Bratislava
Letisko M.R.Štefánika Bratislava;821 04;Bratislava
Letná;831 03;Bratislava
Levanduľová;821 07;Bratislava
Levárska;841 04;Bratislava
Levická;821 08;Bratislava
Levočská;851 01;Bratislava
Lidická;821 04;Bratislava
Lieskovcová;821 07;Bratislava
Lieskovec;821 06;Bratislava
Lieskovská cesta;821 06;Bratislava
Lietavská;851 06;Bratislava
Ligurčeková;821 06;Bratislava
Lichardova;811 03;Bratislava
Likavská;831 01;Bratislava
Limbová;831 01;Bratislava
Linzbothova;821 06;Bratislava
Lipnicová;821 07;Bratislava
Lipová;811 02;Bratislava
Lipovinová;831 02;Bratislava
Lipského;841 01;Bratislava
Liptovská;821 09;Bratislava
Lisovňa;831 06;Bratislava
Listová;821 05;Bratislava
Líščie nivy;821 08;Bratislava
Líščie údolie;841 04;Bratislava
Litovská;841 04;Bratislava
Lodná;811 02;Bratislava
Lombardiniho;831 03;Bratislava
Lomnická;841 10;Bratislava
Lomonosovova;811 09;Bratislava
Longobardská;851 10;Bratislava
Lónyaiova;851 10;Bratislava
Lopárska;821 06;Bratislava
Lopenícka;831 02;Bratislava
Lopúchová;831 01;Bratislava
Lotyšská;821 06;Bratislava
Lovinského;811 04;Bratislava
Lozornianska;841 06;Bratislava
Ľubietovská;851 01;Bratislava
Lubinská;811 03;Bratislava
Ľubľanská;831 02;Bratislava
Ľubochnianska;831 04;Bratislava
Ľubovnianska;851 07;Bratislava
Ľubovníková ulica;841 07;Bratislava
Lúčna;821 05;Bratislava
Ľuda Zúbka;841 01;Bratislava
Ľudmily Kraskovskej;851 10;Bratislava
Ľudové námestie;831 03;Bratislava
Ľudovíta Fullu;841 05;Bratislava
Luhačovická;821 04;Bratislava
Lužická;811 08;Bratislava
Lužná;851 04;Bratislava
Lýcejná;811 03;Bratislava
Lykovcová;841 04;Bratislava
Lysákova;841 01;Bratislava
M. Curie Sklodowskej;851 04;Bratislava
M. Schneidera Trnavského;841 01;Bratislava
M. Schneidera Trnavského;841 01;Bratislava
M. Schneidera Trnavského;841 01;Bratislava
M. Schneidera Trnavského;841 01;Bratislava
M. Schneidera Trnavského;841 01;Bratislava
M. Schneidera Trnavského;841 01;Bratislava
Madáchova;821 06;Bratislava
Maďarská;851 10;Bratislava
Magnetová;831 04;Bratislava
Magnezitová;841 07;Bratislava
Magnoliová;821 07;Bratislava
Magurská;831 01;Bratislava
Macharova;851 01;Bratislava
Máchova;821 06;Bratislava
Majakovského;811 04;Bratislava
Majerníkova;841 05;Bratislava
Majerská;821 07;Bratislava
Májkova;811 07;Bratislava
Majoránová;821 07;Bratislava
Májová;851 01;Bratislava
Maková;821 07;Bratislava
Makovického;831 03;Bratislava
Malá;811 02;Bratislava
Malagová;831 52;Bratislava
Malachitová;821 06;Bratislava
Malé pálenisko;821 05;Bratislava
Malé pálenisko I;821 09;Bratislava
Malé pálenisko III;821 09;Bratislava
Malé pálenisko IV;821 09;Bratislava
Malinová;811 04;Bratislava
Malodunajská;821 07;Bratislava
Malokarpatské námestie;841 03;Bratislava
Malokrasňanská;831 54;Bratislava
Málová;841 06;Bratislava
Malý Draždiak;850 00;Bratislava
Malý trh;811 08;Bratislava
Mamateyova;851 03;Bratislava
Mamateyova;851 04;Bratislava
Mandľová;851 10;Bratislava
Mandľovníková;831 01;Bratislava
Mánesovo námestie;851 01;Bratislava
Margarétová;821 07;Bratislava
Marhuľová;821 07;Bratislava
Mariánska;811 08;Bratislava
Markova;851 01;Bratislava
Maróthyho;811 06;Bratislava
Martákovej;821 03;Bratislava
Martina Granca;841 02;Bratislava
Martinčekova;821 01;Bratislava
Martinčekova;821 09;Bratislava
Martinengova;811 02;Bratislava
Martinská;821 05;Bratislava
Mateja Bela;811 06;Bratislava
Matejkova;841 05;Bratislava
Matičná;831 03;Bratislava
Matúškova;831 01;Bratislava
Matúšova;811 04;Bratislava
Maximiliána Hella;821 02;Bratislava
Mätová;821 07;Bratislava
Mečíková;841 07;Bratislava
Medená;811 02;Bratislava
Medová;841 10;Bratislava
Medovková;821 07;Bratislava
Medveďovej;851 04;Bratislava
Medzierka;811 01;Bratislava
Medzilaborecká;821 01;Bratislava
Merlotová;831 02;Bratislava
Mesačná;821 02;Bratislava
Mestská;831 03;Bratislava
Meteorová;821 02;Bratislava
Metodova;821 08;Bratislava
Mickiewiczova;811 07;Bratislava
Mierová;821 05;Bratislava
Michalská;811 01;Bratislava
Michalská;811 03;Bratislava
Mikovíniho;831 02;Bratislava
Mikuláša Schneidera-Trnavského;841 01;Bratislava
Mikulášska;811 01;Bratislava
Milana Marečka;841 08;Bratislava
Milana Pišúta;841 07;Bratislava
Miletičova;821 08;Bratislava
Miletičova;821 09;Bratislava
Mínešská;851 10;Bratislava
Mišíkova;811 04;Bratislava
Mišíkova;811 04;Bratislava
Mišíkova;811 06;Bratislava
Mládežnícka;841 10;Bratislava
Mliekárenská;821 09;Bratislava
Mlynarovičova;851 03;Bratislava
Mlynská;841 07;Bratislava
Mlynská dolina;811 02;Bratislava
Mlynská dolina;811 04;Bratislava
Mlynská dolina;841 04;Bratislava
Mlynské luhy;821 05;Bratislava
Mlynské nivy;811 09;Bratislava
Mlynské nivy;821 05;Bratislava
Mlynské nivy;821 05;Bratislava
Mlynské nivy;821 09;Bratislava
Mlynské nivy;821 09;Bratislava
Mlyny;841 04;Bratislava
Modranská;831 02;Bratislava
Modricová;821 07;Bratislava
Modrý chodník;831 06;Bratislava
Mojmírova;821 08;Bratislava
Mokráň záhon;821 04;Bratislava
Mokrohájska cesta;841 04;Bratislava
Moldavská;821 03;Bratislava
Molecova;841 04;Bratislava
Monardová;821 06;Bratislava
Morava;841 07;Bratislava
Moravská;831 03;Bratislava
Morušová;851 10;Bratislava
Moskovská;811 08;Bratislava
Most SNP;851 01;Bratislava
Mostná;821 07;Bratislava
Mostová;811 02;Bratislava
Mošovského;811 03;Bratislava
Motýlia;821 05;Bratislava
Moyšova;841 02;Bratislava
Moyzesova;811 05;Bratislava
Mozartova;811 02;Bratislava
Mramorová;821 06;Bratislava
Mraziarenská;821 08;Bratislava
Mrázová;831 06;Bratislava
Mudrochova;831 06;Bratislava
Mudroňova;811 01;Bratislava
Mudroňova;811 03;Bratislava
Mudroňova;811 04;Bratislava
Muchovo námestie;851 01;Bratislava
Muránska;841 10;Bratislava
Murgašova;811 04;Bratislava
Murnice;840 09;Bratislava
Muškátová;821 01;Bratislava
Muštová;831 02;Bratislava
Múzejná;811 02;Bratislava
Myjavská;811 03;Bratislava
Mýtna;811 05;Bratislava
Mýtna;811 07;Bratislava
Na Ahoji;831 02;Bratislava
Na Baránku;811 04;Bratislava
Na barine;841 03;Bratislava
Na Brezinách;811 05;Bratislava
Na doline;831 07;Bratislava
Na Grbe;841 07;Bratislava
Na Grunte;831 52;Bratislava
Na Holom vrchu;841 06;Bratislava
Na hrádzi;851 10;Bratislava
Na Hrebienku;811 02;Bratislava
Na hriadkach;841 07;Bratislava
Na jarku;831 07;Bratislava
Na Kalvárii;811 04;Bratislava
Na Kampárke;841 04;Bratislava
Na kaštieli;841 07;Bratislava
Na kopci;811 02;Bratislava
Na Koziarke;830 00;Bratislava
Na Krčoch;841 06;Bratislava
Na križovatkách;821 04;Bratislava
Na lánoch;821 04;Bratislava
Na medzi;831 06;Bratislava
Na mýte;841 07;Bratislava
Na pántoch;831 06;Bratislava
Na pasekách;831 06;Bratislava
Na paši;821 02;Bratislava
Na Pažiti;831 01;Bratislava
Na piesku;821 05;Bratislava
Na Revíne;831 01;Bratislava
Na Riviére;841 04;Bratislava
Na Roličkách;831 01;Bratislava
Na Rozhliadke;831 01;Bratislava
Na Sitine;841 04;Bratislava
Na skale;841 07;Bratislava
Na Slanci;831 52;Bratislava
Na Slavíne;811 06;Bratislava
Na spojke;831 01;Bratislava
Na stráni;811 04;Bratislava
Na Štyridsiatku;811 06;Bratislava
Na úvrati;821 04;Bratislava
Na varte;831 01;Bratislava
Na Vlkovkách;841 06;Bratislava
Na vrátkach;841 01;Bratislava
Na vŕšku;811 01;Bratislava
Na Vtáčniku;831 01;Bratislava
Na vyhliadke;841 07;Bratislava
Na výslní;821 05;Bratislava
Na Zlatej nohe;831 01;Bratislava
Nábělkova;841 05;Bratislava
Nábrežie arm.gen.Ludvíka Svobodu;811 02;Bratislava
Nábrežie Milana Rastislava Štefánika;811 09;Bratislava
Nábrežná;851 01;Bratislava
Nad Dunajom;841 04;Bratislava
Nad Gronárom;841 10;Bratislava
Nad jazierkom;831 07;Bratislava
Nad Kúriou;831 06;Bratislava
Nad lomom;811 02;Bratislava
Nad lúčkami;841 04;Bratislava
Nad lúčkami;841 05;Bratislava
Nad ostrovom;841 04;Bratislava
Nad Sihoťou;841 04;Bratislava
Nad Válkom;831 07;Bratislava
Nad záhradami;841 10;Bratislava
Nákovná;821 06;Bratislava
Nákupná;821 06;Bratislava
Nám. Hraničiarov;851 03;Bratislava
Námestie 1.mája;811 06;Bratislava
Námestie 6. apríla;841 07;Bratislava
Námestie Alexandra Dubčeka;811 01;Bratislava
Námestie Andreja Hlinku;831 06;Bratislava
Námestie Biely kríž;831 02;Bratislava
Námestie Eugena Suchoňa;811 02;Bratislava
Námestie Franza Liszta;811 04;Bratislava
Námestie generála Viesta;831 03;Bratislava
Námestie Jána Kostru;841 08;Bratislava
Námestie Jána Pavla II.;851 01;Bratislava
Námestie Ľudovíta Štúra;811 02;Bratislava
Námestie Martina Benku;811 07;Bratislava
Námestie Mateja Korvína;811 07;Bratislava
Námestie Milana Rastislava Štefánika;811 09;Bratislava
Námestie nežnej revolúcie;811 01;Bratislava
Námestie práce;841 10;Bratislava
Námestie pri sýpke;851 10;Bratislava
Námestie Rodiny;841 06;Bratislava
Námestie slobody;811 04;Bratislava
Námestie slobody;811 06;Bratislava
Námestie SNP;811 01;Bratislava
Námestie SNP;811 06;Bratislava
Námestie sv. Cyrila a Metoda;841 10;Bratislava
Námestie sv. Františka;841 04;Bratislava
Námestie sv. Petra a Pavla;841 06;Bratislava
Námestie Titusa Zemana;831 07;Bratislava
Narcisová;821 01;Bratislava
Nedbalova;811 01;Bratislava
Nechtíková;821 07;Bratislava
Nejedlého;841 02;Bratislava
Nekrasovova;811 04;Bratislava
Nemčíkova;841 01;Bratislava
Nemecká dolina;831 07;Bratislava
Neronetová;831 02;Bratislava
Nerudova;821 04;Bratislava
Nevädzová;821 01;Bratislava
Nevská;841 06;Bratislava
Nezábudková;821 01;Bratislava
Nezvalova;821 06;Bratislava
Niťová;821 08;Bratislava
Nitrianska;821 08;Bratislava
Nížinná;821 05;Bratislava
Nobelova;831 02;Bratislava
Nobelovo námestie;851 01;Bratislava
Nová;831 03;Bratislava
Nová Bellova;831 01;Bratislava
Nová hora;831 06;Bratislava
Nová Koziarka;830 00;Bratislava
Nová Rožňavská;831 04;Bratislava
Novackého;841 04;Bratislava
Nové pálenisko;821 05;Bratislava
Nové Šuty;831 07;Bratislava
Nové záhrady;821 05;Bratislava
Nové záhrady I;821 05;Bratislava
Nové záhrady II;821 05;Bratislava
Nové záhrady III;821 05;Bratislava
Nové záhrady IV;821 05;Bratislava
Nové záhrady V;821 05;Bratislava
Nové záhrady VI;821 05;Bratislava
Nové záhrady VII;821 05;Bratislava
Novinárska;831 03;Bratislava
Novobanská;851 01;Bratislava
Novodvorská;841 01;Bratislava
Novohorská;831 06;Bratislava
Novohradská;821 09;Bratislava
Novosadná;851 10;Bratislava
Novosvetská;811 04;Bratislava
Novosvetská;811 04;Bratislava
Novosvetská;811 06;Bratislava
Novoveská;841 07;Bratislava
Nový kameňolom;841 10;Bratislava
Nový záhon;831 54;Bratislava
Obežná;821 02;Bratislava
Obchodná;811 06;Bratislava
Oblačná;831 06;Bratislava
Oblúková;821 06;Bratislava
Očovská;851 02;Bratislava
Odbojárov;831 04;Bratislava
Odborárska;831 02;Bratislava
Odborárske námestie;811 07;Bratislava
Odborárske námestie;811 08;Bratislava
Odeská;821 06;Bratislava
Ohnicová;821 05;Bratislava
Ochotnícka;831 07;Bratislava
Okánikova;811 04;Bratislava
Okružná;821 04;Bratislava
Olbrachtova;831 04;Bratislava
Oleandrová;851 10;Bratislava
Olejkárska;811 09;Bratislava
Olivová;831 01;Bratislava
Ollarekova;841 06;Bratislava
Olšová;831 06;Bratislava
Ondavská;821 08;Bratislava
Ondrejovova;821 03;Bratislava
Ondrejská;831 06;Bratislava
Ónyxová;851 10;Bratislava
Opálová;851 10;Bratislava
Opavská;831 01;Bratislava
Opletalova;841 07;Bratislava
Oráčska;831 06;Bratislava
Oravská;821 09;Bratislava
Orechová;821 06;Bratislava
Orechová cesta;851 04;Bratislava
Orechový rad;821 05;Bratislava
Orenburská;821 06;Bratislava
Orešianková;840 08;Bratislava
Orgovánová;821 07;Bratislava
Orchideová;821 07;Bratislava
Oriešková;821 05;Bratislava
Ormisova;831 02;Bratislava
Osadná;831 03;Bratislava
Osijecká;851 10;Bratislava
Osiková;821 07;Bratislava
Oskorušová;841 01;Bratislava
Osloboditeľská;831 07;Bratislava
Ostravská;811 04;Bratislava
Ostredková;821 02;Bratislava
Ostricová;841 10;Bratislava
Ostriežová;841 06;Bratislava
Ostružinová;821 07;Bratislava
Ostružinový chodník;841 03;Bratislava
Osuského;851 03;Bratislava
Osvetová;821 05;Bratislava
Ota Holúska;841 06;Bratislava
Otonelská;831 02;Bratislava
Ovčiarska;821 06;Bratislava
Ovocná;851 10;Bratislava
Ovručská;831 02;Bratislava
Ovsená;851 10;Bratislava
Ovsištské námestie;851 04;Bratislava
Ožvoldíkova;841 02;Bratislava
Ôsma;831 01;Bratislava
Padlých hrdinov;821 06;Bratislava
Pajštúnska;851 02;Bratislava
Palackého;811 02;Bratislava
Palárikova;811 04;Bratislava
Palárikova;811 05;Bratislava
Pálavská;831 02;Bratislava
Palinová;821 07;Bratislava
Palisády;811 01;Bratislava
Palisády;811 03;Bratislava
Palisády;811 06;Bratislava
Palkovičova;821 08;Bratislava
Palmová;851 10;Bratislava
Panenská;811 03;Bratislava
Pankúchova;851 04;Bratislava
Panónska cesta;851 04;Bratislava
Panská;811 01;Bratislava
Pántikova;841 01;Bratislava
Papánkovo námestie;821 03;Bratislava
Papraďová;821 01;Bratislava
Parcelná;821 06;Bratislava
Parenicová;821 06;Bratislava
Páričkova;821 08;Bratislava
Parková;821 05;Bratislava
Párna;821 05;Bratislava
Partizánska;811 03;Bratislava
Pasienková;821 06;Bratislava
Pasienky;831 04;Bratislava
Pastierska;831 06;Bratislava
Paulínyho;811 02;Bratislava
Pave Vukoviča;851 10;Bratislava
Pavla Blaha;841 06;Bratislava
Pavla Horova;841 08;Bratislava
Pavlovičova;821 04;Bratislava
Pavlovova;821 08;Bratislava
Pavlovská;831 03;Bratislava
Pažického;811 06;Bratislava
Pažítková;821 01;Bratislava
Pečnianska;851 01;Bratislava
Pekná cesta;831 52;Bratislava
Pekná cesta;831 52;Bratislava
Pekná cesta;831 54;Bratislava
Pekná vyhliadka;831 01;Bratislava
Pekníkova;841 02;Bratislava
Perličková;821 06;Bratislava
Pernecká;841 04;Bratislava
Pestovateľská;821 04;Bratislava
Petara Pasicha;851 10;Bratislava
Peterská;821 03;Bratislava
Petőfiho;821 06;Bratislava
Petržalská;851 10;Bratislava
Petúniová;821 07;Bratislava
Petzvalova;821 03;Bratislava
Pezinská;831 02;Bratislava
Piata;831 01;Bratislava
Piesková;831 06;Bratislava
Pieskovcová;841 07;Bratislava
Piesočná;821 04;Bratislava
Piešťanská;831 02;Bratislava
Pifflova;851 01;Bratislava
Pilárikova;811 03;Bratislava
Pílová;851 10;Bratislava
Píniová;821 07;Bratislava
Pinotová;831 02;Bratislava
Pionierska;831 01;Bratislava
Pionierska;831 02;Bratislava
Pivoňková;821 01;Bratislava
Plachého;840 02;Bratislava
Plachého;841 02;Bratislava
Plamienová ulica;851 10;Bratislava
Planckova;851 01;Bratislava
Planét;821 02;Bratislava
Plánky;840 02;Bratislava
Platanová;821 07;Bratislava
Plátennícka;821 09;Bratislava
Plavecká;841 06;Bratislava
Plickova;831 06;Bratislava
Plitvická;851 10;Bratislava
plk. Prvoniča;841 06;Bratislava
Pluhová;831 03;Bratislava
Plynárenská;821 09;Bratislava
Plzenská;831 03;Bratislava
Pobrežná;851 01;Bratislava
Pod agátmi;821 07;Bratislava
Pod Bôrikom;811 02;Bratislava
Pod brehmi;841 03;Bratislava
Pod gaštanmi;821 07;Bratislava
Pod Glavicou;841 08;Bratislava
Pod Kalváriou;811 04;Bratislava
Pod Klepáčom;831 01;Bratislava
Pod Kobylou;841 10;Bratislava
Pod Krásnou hôrkou;831 01;Bratislava
Pod krížom;831 07;Bratislava
Pod lesom;841 04;Bratislava
Pod lipami;831 07;Bratislava
Pod Lipovým;841 07;Bratislava
Pod násypom;841 03;Bratislava
Pod Rovnicami;841 04;Bratislava
Pod skalou;841 10;Bratislava
Pod srdcom;841 07;Bratislava
Pod Strážami;831 01;Bratislava
Pod Vachmajstrom;831 01;Bratislava
Pod Válkom;831 07;Bratislava
Pod vinicami;811 02;Bratislava
Pod Vtáčnikom;831 01;Bratislava
Pod záhradami;841 01;Bratislava
Pod záhradami;841 02;Bratislava
Pod Zečákom;841 03;Bratislava
Podbeľová;821 07;Bratislava
Podbrezovská;831 06;Bratislava
Podháj;841 03;Bratislava
Podhorská;841 07;Bratislava
Podhorského chodník;811 04;Bratislava
Podjavorinskej;811 03;Bratislava
Podkarpatská;831 06;Bratislava
Podkerepušky;840 08;Bratislava
Podkolibská;831 01;Bratislava
Podkorunská;841 10;Bratislava
Podlesná;841 03;Bratislava
Podlučinského;821 03;Bratislava
Podniková;831 02;Bratislava
Podpriehradná;821 07;Bratislava
Podtatranského;811 05;Bratislava
Podunajská;821 06;Bratislava
Podunajská;821 07;Bratislava
Podzáhradná;821 06;Bratislava
Podzáhradná;821 07;Bratislava
Pohánková;821 07;Bratislava
Pohraničníkov;851 10;Bratislava
Pohronská;831 03;Bratislava
Polárna;821 02;Bratislava
Polereckého;851 04;Bratislava
Polianky;841 01;Bratislava
Poľná;811 08;Bratislava
Poľnohospodárska;821 07;Bratislava
Poľný mlyn;840 08;Bratislava
Poľovnícka;821 09;Bratislava
Poľská;811 07;Bratislava
Poludníková;821 02;Bratislava
Poniklecová;841 07;Bratislava
Popolná;831 06;Bratislava
Popovova;841 01;Bratislava
Popradská;821 06;Bratislava
Porubského;811 06;Bratislava
Poštová;811 06;Bratislava
Potočná;831 06;Bratislava
Považanova;841 02;Bratislava
Považská;831 03;Bratislava
Povoznícka;841 03;Bratislava
Povraznícka;811 05;Bratislava
Povraznícka;811 07;Bratislava
Požiarnická;821 06;Bratislava
Pôvabnicová;841 04;Bratislava
Pračanská;831 07;Bratislava
Prasličková;821 07;Bratislava
Pražská;811 04;Bratislava
Pražská;831 01;Bratislava
Predstaničné námestie;811 04;Bratislava
Prepoštská;811 01;Bratislava
Prešernova;811 02;Bratislava
Prešovská;821 02;Bratislava
Prešovská;821 02;Bratislava
Prešovská;821 08;Bratislava
Pri Bielom kríži;831 02;Bratislava
Pri Čiernom lese;821 05;Bratislava
Pri dvore;831 04;Bratislava
Pri Dynamitke;831 03;Bratislava
Pri gaštanovej aleji;851 10;Bratislava
Pri Habánskom mlyne;811 04;Bratislava
Pri hradnej studni;811 03;Bratislava
Pri hrádzi;821 06;Bratislava
Pri Hrubej lúke;841 02;Bratislava
Pri Kolíske;831 06;Bratislava
Pri kríži;841 02;Bratislava
Pri lesostepi;841 10;Bratislava
Pri letisku;821 04;Bratislava
Pri majeri;831 06;Bratislava
Pri mlyne;831 07;Bratislava
Pri nadjazde;831 07;Bratislava
Pri parku;841 10;Bratislava
Pri pasienku;831 07;Bratislava
Pri pekárni;831 06;Bratislava
Pri pieskovom hone;851 10;Bratislava
Pri Rochu;841 07;Bratislava
Pri Rusovskom ramene;851 10;Bratislava
Pri rybníku;831 06;Bratislava
Pri Seči;851 01;Bratislava
Pri starej prachárni;831 04;Bratislava
Pri Starom háji;851 01;Bratislava
Pri starom letisku;831 07;Bratislava
Pri starom mýte;831 04;Bratislava
Pri strelnici;821 04;Bratislava
Pri Struhe;831 07;Bratislava
Pri Suchom mlyne;811 04;Bratislava
Pri Šajbách;831 06;Bratislava
Pri šanci;831 07;Bratislava
Pri štadióne;841 01;Bratislava
Pri tehelni;851 10;Bratislava
Pri trati;821 06;Bratislava
Pri Vápenickom potoku;841 06;Bratislava
Pri vinohradoch;831 06;Bratislava
Pri vodárni;851 10;Bratislava
Pri zvonici;821 04;Bratislava
Pri žrebčíne;851 10;Bratislava
Priama cesta;841 10;Bratislava
Pribinova;811 09;Bratislava
Pribinova;811 09;Bratislava
Pribinova;821 09;Bratislava
Pribinova-zimný prístav;811 09;Bratislava
Pribišova;841 05;Bratislava
Pribylinská;831 04;Bratislava
Pridánky;841 03;Bratislava
Prídavkova;841 06;Bratislava
Priečna;831 03;Bratislava
Priehradná;821 07;Bratislava
Priekopnícka;821 06;Bratislava
Priekopy;821 08;Bratislava
Priemyselná;821 08;Bratislava
Priemyselná;821 09;Bratislava
Prievozská;821 05;Bratislava
Prievozská;821 09;Bratislava
Prievozská;821 09;Bratislava
Príjazdná;831 07;Bratislava
Príkopova;831 03;Bratislava
Primaciálne námestie;811 01;Bratislava
Prímoravská;841 07;Bratislava
Prípojná;821 06;Bratislava
Prístav;821 09;Bratislava
Prístavná;821 09;Bratislava
Prokofievova;851 01;Bratislava
Prokopa Veľkého;811 04;Bratislava
Prokopova;851 01;Bratislava
Prúdová;821 05;Bratislava
